Calibration,1,18h2m17s," "," ",,,,,,,,,
"Time, s",Light,Threshold,,,,,,,,Time,ThreshHold,Time,ThreshHold
,,,,,,,,,,4.139,88,4.139,58
,,,,,,,,,,4.154,88,4.155,58
,,,,,,,,,,4.172,88,4.172,58
,,,,,,,,,,4.189,88,4.19,60
,,,,,,,,,,4.205,88,4.206,64
,,,,,,,,,,4.222,86,4.223,68
,,,,,,,,,,4.238,86,4.24,66
,,,,,,,,,,4.255,86,4.256,64
,,,,,,,,,,4.273,86,4.271,62
,,,,,,,,,,4.288,86,4.289,60
,,,,,,,,,,4.305,84,4.305,60
,,,,,,,,,,4.322,84,4.323,60
,,,,,,,,,,4.338,84,4.338,62
,,,,,,,,,,4.356,84,4.355,60
,,,,,,,,,,4.372,84,4.372,60
,,,,,,,,,,4.389,84,4.389,58
,,,,,,,,,,4.406,84,4.406,56
,,,,,,,,,,4.422,82,4.422,54
,,,,,,,,,,4.438,82,4.44,54
,,,,,,,,,,4.455,80,4.456,52
,,,,,,,,,,4.471,80,4.456,52
,,,,,,,,,,4.489,80,4.456,50
,,,,,,,,,,4.505,80,4.456,50
,,,,,,,,,,4.522,80,4.456,52
,,,,,,,,,,4.539,78,4.456,54
,,,,,,,,,,4.555,80,4.456,58
,,,,,,,,,,4.572,78,4.456,66
,,,,,,,,,,4.589,78,4.456,72
,,,,,,,,,,4.605,76,4.456,78
,,,,,,,,,,4.621,78,4.456,80
,,,,,,,,,,4.638,76,4.456,82
,,,,,,,,,,4.655,76,4.456,86
,,,,,,,,,,4.672,76,4.456,88
,,,,,,,,,,4.688,76,4.456,94
,,,,,,,,,,4.705,76,4.456,100
,,,,,,,,,,4.722,76,4.456,106
,,,,,,,,,,4.739,76,4.456,140
,,,,,,,,,,4.755,76,4.456,160
,,,,,,,,,,4.772,76,4.456,176
,,,,,,,,,,4.788,76,4.456,184
,,,,,,,,,,4.806,76,4.456,190
,,,,,,,,,,4.822,76,4.456,194
,,,,,,,,,,4.838,76,4.456,198
,,,,,,,,,,4.856,74,4.456,202
,,,,,,,,,,4.872,74,4.456,204
,,,,,,,,,,4.888,72,4.456,206
,,,,,,,,,,4.905,72,4.456,208
,,,,,,,,,,4.921,72,4.456,212
,,,,,,,,,,4.938,72,4.456,214
,,,,,,,,,,4.954,72,4.456,216
,,,,,,,,,,4.971,72,4.456,216
,,,,,,,,,,4.989,70,4.456,218
,,,,,,,,,,5.006,70,4.456,220
,,,,,,,,,,5.023,68,4.456,222
,,,,,,,,,,5.039,70,4.456,222
,,,,,,,,,,5.055,70,4.456,224
,,,,,,,,,,5.071,70,4.456,224
,,,,,,,,,,5.088,70,4.456,226
,,,,,,,,,,5.106,70,4.456,224
,,,,,,,,,,5.122,70,4.456,224
,,,,,,,,,,5.138,70,4.456,224
,,,,,,,,,,5.156,72,4.456,224
,,,,,,,,,,5.173,72,4.456,224
,,,,,,,,,,5.189,74,4.456,224
,,,,,,,,,,5.206,74,4.456,224
,,,,,,,,,,5.222,74,4.456,224
,,,,,,,,,,5.239,74,4.456,224
,,,,,,,,,,5.255,74,4.456,226
,,,,,,,,,,5.271,76,4.456,224
,,,,,,,,,,5.289,76,4.456,226
,,,,,,,,,,5.306,76,4.456,224
,,,,,,,,,,5.322,78,4.456,226
,,,,,,,,,,5.339,78,4.456,226
,,,,,,,,,,5.356,78,4.456,228
,,,,,,,,,,5.372,80,4.456,228
,,,,,,,,,,5.388,82,4.456,228
,,,,,,,,,,5.406,82,4.456,228
,,,,,,,,,,5.422,86,4.456,230
,,,,,,,,,,5.438,92,4.456,232
,,,,,,,,,,5.455,102,4.456,232
,,,,,,,,,,5.471,114,4.456,232
,,,,,,,,,,5.488,126,4.456,232
,,,,,,,,,,5.506,130,4.456,232
,,,,,,,,,,5.522,132,4.456,234
,,,,,,,,,,5.538,134,4.456,234
,,,,,,,,,,5.555,134,4.456,232
,,,,,,,,,,5.572,134,4.456,232
,,,,,,,,,,5.588,132,4.456,232
,,,,,,,,,,5.606,132,4.456,232
,,,,,,,,,,5.622,130,4.456,230
,,,,,,,,,,5.639,130,4.456,230
,,,,,,,,,,5.655,126,4.456,228
,,,,,,,,,,5.672,124,4.456,230
,,,,,,,,,,5.688,122,4.456,228
,,,,,,,,,,5.706,122,4.456,230
,,,,,,,,,,5.722,122,4.456,228
,,,,,,,,,,5.738,120,4.456,230
,,,,,,,,,,5.755,120,4.456,228
,,,,,,,,,,5.771,118,4.456,228
,,,,,,,,,,5.789,114,4.456,228
,,,,,,,,,,5.805,112,4.456,228
,,,,,,,,,,5.823,110,4.456,228
,,,,,,,,,,5.839,108,4.456,228
,,,,,,,,,,5.855,104,4.456,228
,,,,,,,,,,5.872,98,4.456,228
,,,,,,,,,,5.889,94,4.456,228
,,,,,,,,,,5.905,88,4.456,228
,,,,,,,,,,5.922,84,4.456,230
,,,,,,,,,,5.938,78,4.456,232
,,,,,,,,,,5.955,74,4.456,232
,,,,,,,,,,5.972,66,4.456,232
,,,,,,,,,,5.989,64,4.456,232
,,,,,,,,,,6.005,62,4.456,232
,,,,,,,,,,6.022,62,4.456,232
,,,,,,,,,,6.038,60,4.456,232
,,,,,,,,,,6.056,60,4.456,232
,,,,,,,,,,6.072,60,4.456,232
,,,,,,,,,,6.088,60,4.456,232
,,,,,,,,,,6.105,60,4.456,232
,,,,,,,,,,6.122,60,4.456,232
,,,,,,,,,,6.138,62,4.456,230
,,,,,,,,,,6.156,64,4.456,230
,,,,,,,,,,6.172,64,4.456,230
,,,,,,,,,,6.189,66,4.456,230
,,,,,,,,,,6.205,64,4.456,230
,,,,,,,,,,6.223,66,4.456,228
,,,,,,,,,,6.239,66,4.456,228
,,,,,,,,,,6.256,68,4.456,228
,,,,,,,,,,6.272,68,4.456,228
,,,,,,,,,,6.289,66,4.456,226
,,,,,,,,,,6.306,66,4.456,226
,,,,,,,,,,6.322,66,4.456,226
,,,,,,,,,,6.338,66,4.456,224
,,,,,,,,,,6.356,66,4.456,226
,,,,,,,,,,6.372,68,4.456,224
,,,,,,,,,,6.39,66,4.456,224
,,,,,,,,,,6.406,66,4.456,224
,,,,,,,,,,6.421,66,4.456,224
,,,,,,,,,,6.438,66,4.456,224
,,,,,,,,,,6.456,66,4.456,222
,,,,,,,,,,6.472,66,4.456,220
,,,,,,,,,,6.49,66,4.456,218
,,,,,,,,,,6.506,66,4.456,216
,,,,,,,,,,6.522,68,4.456,212
,,,,,,,,,,6.538,66,4.456,210
,,,,,,,,,,6.556,66,4.456,206
,,,,,,,,,,6.572,66,4.456,204
,,,,,,,,,,6.589,66,4.456,200
,,,,,,,,,,6.606,68,4.456,198
,,,,,,,,,,6.622,66,4.456,198
,,,,,,,,,,6.639,68,4.456,196
,,,,,,,,,,6.656,66,4.456,196
,,,,,,,,,,6.673,68,4.456,194
,,,,,,,,,,6.688,68,4.456,194
,,,,,,,,,,6.705,70,4.456,194
,,,,,,,,,,6.722,72,4.456,194
,,,,,,,,,,6.738,74,4.456,198
,,,,,,,,,,6.756,80,4.456,200
,,,,,,,,,,6.772,102,4.456,204
,,,,,,,,,,6.788,114,4.456,204
,,,,,,,,,,6.806,98,4.456,204
,,,,,,,,,,6.822,98,4.456,204
,,,,,,,,,,6.838,104,4.456,204
,,,,,,,,,,6.857,142,4.456,204
,,,,,,,,,,6.877,154,4.456,204
,,,,,,,,,,6.889,164,4.456,202
,,,,,,,,,,6.906,174,4.456,202
,,,,,,,,,,6.921,178,4.456,204
,,,,,,,,,,6.939,182,4.456,204
,,,,,,,,,,6.956,184,4.456,206
,,,,,,,,,,6.972,186,4.456,206
,,,,,,,,,,6.989,190,4.456,206
,,,,,,,,,,7.006,194,4.456,206
,,,,,,,,,,7.022,198,4.456,206
,,,,,,,,,,7.039,200,4.456,208
,,,,,,,,,,7.056,204,4.456,208
,,,,,,,,,,7.072,206,4.456,208
,,,,,,,,,,7.089,208,4.456,208
,,,,,,,,,,7.105,208,4.456,208
