Calibration,1,18h2m17s," "," ",,,,,,,,,
"Time, s",Light,Threshold,,,,,,,,Time,ThreshHold,Time,ThreshHold
,,,,,,,,,,11.673,228,6.655,196
,,,,,,,,,,11.673,228,6.655,200
,,,,,,,,,,11.673,228,6.655,202
,,,,,,,,,,11.673,228,6.655,202
,,,,,,,,,,11.673,228,6.655,206
,,,,,,,,,,11.673,228,6.655,208
,,,,,,,,,,11.673,230,6.655,208
,,,,,,,,,,11.673,228,6.655,210
,,,,,,,,,,11.673,228,6.655,212
,,,,,,,,,,11.673,230,6.655,212
,,,,,,,,,,11.673,228,6.655,216
,,,,,,,,,,11.673,228,6.655,216
,,,,,,,,,,11.673,230,6.655,218
,,,,,,,,,,11.673,230,6.655,218
,,,,,,,,,,11.673,228,6.655,220
,,,,,,,,,,11.673,228,6.655,224
,,,,,,,,,,11.673,230,6.655,226
,,,,,,,,,,11.673,228,6.655,228
,,,,,,,,,,11.673,228,6.655,232
,,,,,,,,,,11.673,230,6.655,236
,,,,,,,,,,11.673,228,6.655,236
,,,,,,,,,,11.673,228,6.655,238
,,,,,,,,,,11.673,230,6.655,240
,,,,,,,,,,11.673,230,6.655,242
,,,,,,,,,,11.673,230,6.655,242
,,,,,,,,,,11.673,230,6.655,242
,,,,,,,,,,11.673,228,6.655,242
,,,,,,,,,,11.673,230,6.655,242
,,,,,,,,,,11.673,230,6.655,242
,,,,,,,,,,11.673,230,6.655,242
,,,,,,,,,,11.673,230,6.655,242
,,,,,,,,,,11.673,228,6.655,242
,,,,,,,,,,11.673,230,6.655,238
,,,,,,,,,,11.673,230,6.655,234
,,,,,,,,,,11.673,230,6.655,232
,,,,,,,,,,11.673,230,6.655,230
,,,,,,,,,,11.673,230,6.655,230
,,,,,,,,,,11.673,230,6.655,230
,,,,,,,,,,11.673,230,6.655,230
,,,,,,,,,,11.673,232,6.655,230
,,,,,,,,,,11.673,232,6.655,232
,,,,,,,,,,11.673,232,6.655,230
,,,,,,,,,,11.673,232,6.655,232
,,,,,,,,,,11.673,234,6.655,230
,,,,,,,,,,11.673,232,6.655,230
,,,,,,,,,,11.673,232,6.655,232
,,,,,,,,,,11.673,232,6.655,232
,,,,,,,,,,11.673,232,6.655,232
,,,,,,,,,,11.673,232,6.655,232
,,,,,,,,,,11.673,232,6.655,234
,,,,,,,,,,11.673,232,6.655,234
,,,,,,,,,,11.673,232,6.655,234
,,,,,,,,,,11.673,234,6.655,232
,,,,,,,,,,11.673,232,6.655,234
,,,,,,,,,,11.673,234,6.655,234
,,,,,,,,,,11.673,232,6.655,236
,,,,,,,,,,11.673,232,6.655,236
,,,,,,,,,,11.673,234,6.655,236
,,,,,,,,,,11.673,232,6.655,236
,,,,,,,,,,11.673,232,6.655,236
,,,,,,,,,,11.673,232,6.655,236
,,,,,,,,,,11.673,232,6.655,236
,,,,,,,,,,11.673,232,6.655,236
,,,,,,,,,,11.673,232,6.655,236
,,,,,,,,,,11.673,232,6.655,236
,,,,,,,,,,11.673,232,6.655,238
,,,,,,,,,,11.673,232,6.655,236
,,,,,,,,,,11.673,232,6.655,238
,,,,,,,,,,11.673,232,6.655,236
,,,,,,,,,,11.673,232,6.655,238
,,,,,,,,,,11.673,232,6.655,238
,,,,,,,,,,11.673,232,6.655,238
,,,,,,,,,,11.673,230,6.655,238
,,,,,,,,,,11.673,232,6.655,240
,,,,,,,,,,11.673,232,6.655,240
,,,,,,,,,,11.673,232,6.655,240
,,,,,,,,,,11.673,232,6.655,240
,,,,,,,,,,11.673,232,0.0,242
,,,,,,,,,,11.673,232,0.004,244
,,,,,,,,,,11.673,232,0.022,250
,,,,,,,,,,11.673,232,0.038,250
,,,,,,,,,,11.673,232,0.055,252
,,,,,,,,,,,,0.071,252
,,,,,,,,,,,,0.088,254
,,,,,,,,,,,,0.105,252
,,,,,,,,,,,,0.121,252
,,,,,,,,,,,,0.137,252
,,,,,,,,,,,,0.155,250
,,,,,,,,,,,,0.172,250
,,,,,,,,,,,,0.188,248
,,,,,,,,,,,,0.204,248
,,,,,,,,,,,,0.222,246
,,,,,,,,,,,,0.237,244
,,,,,,,,,,,,0.255,242
,,,,,,,,,,,,0.271,242
,,,,,,,,,,,,0.288,240
,,,,,,,,,,,,0.305,240
,,,,,,,,,,,,0.321,236
,,,,,,,,,,,,0.337,234
,,,,,,,,,,,,0.355,230
,,,,,,,,,,,,0.371,228
,,,,,,,,,,,,0.388,226
,,,,,,,,,,,,0.404,224
,,,,,,,,,,,,0.421,220
,,,,,,,,,,,,0.437,218
,,,,,,,,,,,,0.455,214
,,,,,,,,,,,,0.471,212
,,,,,,,,,,,,0.487,210
,,,,,,,,,,,,0.505,210
,,,,,,,,,,,,0.521,210
,,,,,,,,,,,,0.537,210
,,,,,,,,,,,,0.555,210
,,,,,,,,,,,,0.571,212
,,,,,,,,,,,,0.588,214
,,,,,,,,,,,,0.606,214
,,,,,,,,,,,,0.621,216
,,,,,,,,,,,,0.638,216
,,,,,,,,,,,,0.655,216
,,,,,,,,,,,,0.671,218
,,,,,,,,,,,,0.687,220
,,,,,,,,,,,,0.705,220
,,,,,,,,,,,,0.721,218
,,,,,,,,,,,,0.738,218
,,,,,,,,,,,,0.755,218
,,,,,,,,,,,,0.771,218
,,,,,,,,,,,,0.788,218
,,,,,,,,,,,,0.804,218
,,,,,,,,,,,,0.821,218
,,,,,,,,,,,,0.837,220
,,,,,,,,,,,,0.855,222
,,,,,,,,,,,,0.871,222
,,,,,,,,,,,,0.887,222
,,,,,,,,,,,,0.905,224
,,,,,,,,,,,,0.92,224
,,,,,,,,,,,,0.939,226
,,,,,,,,,,,,0.955,226
,,,,,,,,,,,,0.972,224
,,,,,,,,,,,,0.988,224
,,,,,,,,,,,,1.004,226
,,,,,,,,,,,,1.021,226
,,,,,,,,,,,,1.038,226
,,,,,,,,,,,,1.054,224
,,,,,,,,,,,,1.07,222
,,,,,,,,,,,,1.087,222
,,,,,,,,,,,,1.106,220
,,,,,,,,,,,,1.122,220
,,,,,,,,,,,,1.138,218
,,,,,,,,,,,,1.154,218
,,,,,,,,,,,,1.171,216
,,,,,,,,,,,,1.188,216
,,,,,,,,,,,,1.205,214
,,,,,,,,,,,,1.22,212
,,,,,,,,,,,,1.238,212
,,,,,,,,,,,,1.254,210
,,,,,,,,,,,,1.272,210
,,,,,,,,,,,,1.287,210
,,,,,,,,,,,,1.305,208
,,,,,,,,,,,,1.322,206
,,,,,,,,,,,,1.339,206
,,,,,,,,,,,,1.355,204
,,,,,,,,,,,,1.373,202
,,,,,,,,,,,,1.388,200
,,,,,,,,,,,,1.406,198
,,,,,,,,,,,,1.422,196
,,,,,,,,,,,,1.437,194
,,,,,,,,,,,,1.455,192
,,,,,,,,,,,,1.471,188
,,,,,,,,,,,,1.488,186
,,,,,,,,,,,,1.505,184
,,,,,,,,,,,,1.521,182
,,,,,,,,,,,,1.539,178
,,,,,,,,,,,,1.555,174
,,,,,,,,,,,,1.572,162
,,,,,,,,,,,,1.588,130
,,,,,,,,,,,,1.606,98
,,,,,,,,,,,,1.622,88
,,,,,,,,,,,,1.638,84
,,,,,,,,,,,,1.655,80
,,,,,,,,,,,,1.67,76
,,,,,,,,,,,,1.688,74
,,,,,,,,,,,,1.705,72
,,,,,,,,,,,,1.721,70
,,,,,,,,,,,,1.739,70
,,,,,,,,,,,,1.755,68
,,,,,,,,,,,,1.772,68
,,,,,,,,,,,,1.788,64
,,,,,,,,,,,,1.805,62
,,,,,,,,,,,,1.821,60
,,,,,,,,,,,,1.838,62
,,,,,,,,,,,,1.855,62
,,,,,,,,,,,,1.872,60
,,,,,,,,,,,,1.888,60
,,,,,,,,,,,,1.905,58
,,,,,,,,,,,,1.922,58
,,,,,,,,,,,,1.938,58
,,,,,,,,,,,,1.956,58
,,,,,,,,,,,,1.972,56
,,,,,,,,,,,,1.989,56
,,,,,,,,,,,,2.005,56
,,,,,,,,,,,,2.022,54
,,,,,,,,,,,,2.039,54
,,,,,,,,,,,,2.055,54
,,,,,,,,,,,,2.072,54
,,,,,,,,,,,,2.087,54
,,,,,,,,,,,,2.106,54
,,,,,,,,,,,,2.122,54
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,54
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,54
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,54
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,54
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,54
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,54
,,,,,,,,,,,,2.138,54
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,52
,,,,,,,,,,,,2.138,54
,,,,,,,,,,,,2.138,54
,,,,,,,,,,,,2.138,56
,,,,,,,,,,,,2.138,60
,,,,,,,,,,,,2.138,68
,,,,,,,,,,,,2.138,78
,,,,,,,,,,,,2.138,88
,,,,,,,,,,,,2.138,94
,,,,,,,,,,,,2.138,100
,,,,,,,,,,,,2.138,104
,,,,,,,,,,,,2.138,122
,,,,,,,,,,,,2.138,150
,,,,,,,,,,,,2.138,166
,,,,,,,,,,,,2.138,174
,,,,,,,,,,,,2.138,182
,,,,,,,,,,,,2.138,192
,,,,,,,,,,,,2.138,200
,,,,,,,,,,,,2.138,202
,,,,,,,,,,,,2.138,202
,,,,,,,,,,,,2.138,204
,,,,,,,,,,,,2.138,202
,,,,,,,,,,,,2.138,202
,,,,,,,,,,,,2.138,202
,,,,,,,,,,,,2.138,198
,,,,,,,,,,,,2.138,200
,,,,,,,,,,,,2.138,202
,,,,,,,,,,,,2.138,202
,,,,,,,,,,,,2.138,202
,,,,,,,,,,,,2.138,204
,,,,,,,,,,,,2.138,206
,,,,,,,,,,,,2.138,208
,,,,,,,,,,,,2.138,208
,,,,,,,,,,,,2.138,210
,,,,,,,,,,,,2.138,214
,,,,,,,,,,,,2.138,214
,,,,,,,,,,,,2.138,214
,,,,,,,,,,,,2.138,216
,,,,,,,,,,,,2.138,216
,,,,,,,,,,,,2.138,216
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,218
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,222
,,,,,,,,,,,,2.138,220
,,,,,,,,,,,,2.138,222
,,,,,,,,,,,,2.138,222
,,,,,,,,,,,,2.138,222
,,,,,,,,,,,,2.138,222
,,,,,,,,,,,,2.138,222
,,,,,,,,,,,,2.138,222
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,224
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,226
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,230
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,230
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,230
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
,,,,,,,,,,,,2.138,228
